feature_name,num_repos,num_still_present,num_retired,min_first_seen_date,max_first_seen_date,min_last_seen_date,max_last_seen_date,avg_lifetime_days,median_lifetime_days
cfg_attribute_in_where,1,1,0,2025-03-01T14:02:46+00:00,2025-03-01T14:02:46+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,245.00,245.00
cfg_match,1,1,0,2025-04-05T20:13:09+00:00,2025-04-05T20:13:09+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,210.00,210.00
cfg_target_feature,4,0,4,2017-12-04T18:37:37+00:00,2018-05-23T14:29:18+00:00,2019-01-18T22:19:20+00:00,2019-01-18T22:19:20+00:00,410.00,410.00
cfg_target_has_atomic,1,0,1,2018-11-05T20:47:02+00:00,2018-11-05T20:47:02+00:00,2021-05-23T12:21:28+00:00,2021-05-23T12:21:28+00:00,929.00,929.00
clone_from_slice,1,0,1,2015-12-13T17:43:11+00:00,2015-12-13T17:43:11+00:00,2016-07-27T10:12:53+00:00,2016-07-27T10:12:53+00:00,226.00,226.00
collections,13,0,13,2015-01-29T17:31:30+00:00,2017-03-08T08:19:08+00:00,2015-02-02T21:41:41+00:00,2017-06-16T21:03:40+00:00,140.50,67.00
compiler,1,0,1,2017-10-22T22:46:17+00:00,2017-10-22T22:46:17+00:00,2019-05-06T17:25:47+00:00,2019-05-06T17:25:47+00:00,560.00,560.00
compiler_builtins_lib,1,0,1,2025-02-07T18:18:34+00:00,2025-02-07T18:18:34+00:00,2025-02-07T18:18:34+00:00,2025-02-07T18:18:34+00:00,0.00,0.00
concat_idents,2,0,2,2017-10-04T00:20:52+00:00,2021-10-03T15:28:29+00:00,2017-10-04T00:41:54+00:00,2021-10-03T15:53:22+00:00,0.00,0.00
conservative_impl_trait,2,0,2,2017-06-23T13:55:39+00:00,2018-01-12T07:53:06+00:00,2017-07-20T12:55:38+00:00,2018-06-02T09:01:00+00:00,83.50,83.50
const_binary_heap_constructor,1,0,1,2024-04-14T18:23:38+00:00,2024-04-14T18:23:38+00:00,2025-07-24T07:31:32+00:00,2025-07-24T07:31:32+00:00,465.00,465.00
const_btree_new,1,0,1,2021-10-25T21:42:36+00:00,2021-10-25T21:42:36+00:00,2023-02-27T20:14:46+00:00,2023-02-27T20:14:46+00:00,489.00,489.00
const_eval_limit,1,0,1,2023-02-23T09:05:47+00:00,2023-02-23T09:05:47+00:00,2023-04-20T05:18:16+00:00,2023-04-20T05:18:16+00:00,55.00,55.00
const_evaluatable_checked,1,0,1,2021-05-16T12:53:24+00:00,2021-05-16T12:53:24+00:00,2021-07-04T11:59:34+00:00,2021-07-04T11:59:34+00:00,48.00,48.00
const_extern_fn,2,0,2,2021-12-16T17:21:19+00:00,2022-01-05T09:22:53+00:00,2022-02-22T20:33:21+00:00,2022-02-23T22:13:06+00:00,58.50,58.50
const_fmt_arguments_new,1,0,1,2023-01-18T21:05:34+00:00,2023-01-18T21:05:34+00:00,2025-06-17T18:12:11+00:00,2025-06-17T18:12:11+00:00,880.00,880.00
const_fn,5,1,4,2015-08-03T15:02:47+00:00,2019-06-08T09:47:18+00:00,2015-09-22T18:49:32+00:00,2025-11-01T20:24:49+00:00,903.00,371.00
const_fn_fn_ptr_basics,1,0,1,2022-01-25T03:54:49+00:00,2022-01-25T03:54:49+00:00,2022-03-09T19:52:38+00:00,2022-03-09T19:52:38+00:00,43.00,43.00
const_fn_trait_bound,4,1,3,2021-12-16T17:21:19+00:00,2023-01-18T21:05:34+00:00,2022-02-22T20:33:21+00:00,2025-11-19T02:17:02+00:00,298.50,58.00
const_fn_transmute,1,0,1,2021-10-03T15:28:29+00:00,2021-10-03T15:28:29+00:00,2021-10-03T15:57:06+00:00,2021-10-03T15:57:06+00:00,0.00,0.00
const_format_args,1,0,1,2023-09-18T11:15:45+00:00,2023-09-18T11:15:45+00:00,2023-09-21T18:43:22+00:00,2023-09-21T18:43:22+00:00,3.00,3.00
const_generics,5,1,4,2019-05-16T04:22:25+00:00,2021-02-21T07:05:41+00:00,2019-12-30T08:21:30+00:00,2025-11-01T20:24:49+00:00,787.00,391.50
