feature_name,ever_repo_count
doc_notable_trait,1
dotdoteq_in_patterns,1
downcast_unchecked,1
drop_types_in_const,1
duration_checked_float,1
duration_millis_float,1
duration_span,1
entry_insert,1
enumset,1
exact_chunks,1
exact_size_is_empty,1
exclusive_range_pattern,1
exit_status_error,1
extended_compare_and_swap,1
extended_key_value_attributes,1
extern_types,1
f128,1
f16,1
file_type,1
filling_drop,1
float_extras,1
float_interpolation,1
float_next_up_down,1
fn_must_use,1
format_args_capture,1
format_args_nl,1
formatting_options,1
from_raw_os,1
frontmatter,1
fs_read_write,1
fs_try_exists,1
fundamental,1
global_allocator,1
hash_default,1
hash_drain_filter,1
hash_extract_if,1
hash_raw_entry,1
impl_trait_in_bindings,1
impl_trait_projections,1
in_band_lifetimes,1
inclusive_range,1
inherent_associated_types,1
inline_const,1
inplace_iteration,1
insert_str,1
internal_output_capture,1
into_boxed_c_str,1
into_future,1
intra_doc_pointers,1
io_const_error,1
io_error_more,1
io_error_other,1
io_slice_advance,1
ip_in_core,1
is_some_with,1
iter_advance_by,1
iter_arith,1
iter_array_chunks,1
iter_collect_into,1
iter_iterate,1
iter_map_while,1
iter_map_windows,1
iter_order_by,1
iter_zip,1
js_globals,1
label_break_value,1
lazy_cell,1
likely_unlikely,1
link_args,1
linked_from,1
linked_list_remove,1
lint_reasons,1
llvm_asm,1
local_key_cell_methods,1
log_syntax,1
macro_registrar,1
manually_drop_take,1
map_in_place,1
map_into_keys_values,1
mapped_lock_guards,1
marker_trait_attr,1
match_default_bindings,1
matches_macro,1
maybe_uninit,1
maybe_uninit_as_bytes,1
maybe_uninit_extra,1
maybe_uninit_ref,1
maybe_uninit_uninit_array_transpose,1
metadata_ext,1
min_const_generics,1
mixed_integer_ops,1
net,1
no_sanitize,1
non_ascii_idents,1
nonzero_internals,1
nothreads,1
on_unimplemented,1
once_cell_get_mut,1
once_cell_try,1
optimize_attribute,1
option_get_or_insert_default,1
option_result_unwrap_unchecked,1
overlapping_marker_traits,1
page_size,1
panic_can_unwind,1
panic_handler,1
panic_runtime,1
panic_unwind,1
path_relative_from,1
placement_in_syntax,1
placement_new_protocol,1
proc_macro_quote,1
proc_macros,1
ptr_alignment_type,1
ptr_internals,1
range_contains,1
raw_ext,1
raw_identifiers,1
raw_vec_internals,1
read_exact,1
read_initializer,1
ready_macro,1
receiver_trait,1
reflect_marker,1
register_attr,1
repr_align,1
repr_packed,1
restricted_std,1
result_contains_err,1
result_expect,1
result_option_inspect,1
rust_,1
rust_2018_preview,1
rustc_allow_const_fn_unstable,1
scoped,1
set_ptr_value,1
sgx_platform,1
shrink_to,1
simd,1
sip_hash_13,1
slice_as_array,1
slice_as_chunks,1
slice_bytes,1
slice_internals,1
slice_partition_at_index,1
slice_partition_dedup,1
slice_pattern,1
slice_range,1
slice_swap_unchecked,1
slice_take,1
socket_timeout,1
split_ascii_whitespace,1
static_condvar,1
static_nobundle,1
std_panic,1
stdarch_arm_neon_intrinsics,1
stdin_forwarders,1
step_trait,1
str_escape,1
str_split_at,1
str_split_once,1
strict_provenance_atomic_ptr,1
strict_provenance_lints,1
string_drain_as_str,1
string_remove_matches,1
string_retain,1
sync_unsafe_cell,1
target_feature,1
tempdir,1
termination_trait,1
test_2018_feature,1
time_checked_add,1
toowned_clone_into,1
trace_marcos,1
track_caller,1
track_path,1
trait_upcasting,1
try_reserve,1
uefi_std,1
underscore_const_names,1
underscore_lifetimes,1
unicode_internals,1
unnamed_feature,1
unreachable,1
unrestricted_attribute_tokens,1
unsized_fn_params,1
unsized_locals,1
unwrap_infallible,1
utf8_error,1
variant_count,1
vec_push_within_capacity,1
vec_spare_capacity,1
vecdeque_binary_search,1
wasi_ext,1
wasm_import_memory,1
weak_into_raw,1
windows_process_extensions_raw_attribute,1
write_all_vectored,1
yeet_expr,1
