key,owner,repo,crate_names,status,attempts,last_error,last_attempt_ts
0skar16/h264bsd-rs,0skar16,h264bsd-rs,h264bsd-sys,success,1,,2025-11-28T04:39:54Z
0x61nas/pinterest-login,0x61nas,pinterest-login,pinterest-login,pending,0,,
0x676e67/http2,0x676e67,http2,http2,success,1,,2025-11-20T00:35:27Z
0x676e67/rquest,0x676e67,rquest,rquest,pending,0,,
0xC0DE666/query-x,0xC0DE666,query-x,query-x,pending,0,,
0xPlaygrounds/rig,0xPlaygrounds,rig,rig-scylladb,success,1,,2025-11-28T04:39:14Z
0xSiO/bolt-rs,0xSiO,bolt-rs,deadpool-bolt,pending,0,,
0xfalafel/xxr,0xfalafel,xxr,xxr,pending,0,,
0xfrej/vlcb-defs-rs,0xfrej,vlcb-defs-rs,vlcb-defs,failed,1,git clone failed: Cloning into 'repos/0xfrej/vlcb-defs-rs'... | remote: Repository not found. | fatal: repository 'https://github.com/0xfrej/vlcb-defs-rs.git/' not found,2025-11-28T04:38:57Z
0xparc/parcnet,0xparc,parcnet,parcnet,pending,0,,
0xperp/new_age_greeks,0xperp,new_age_greeks,defi_greeks,pending,0,,
10XGenomics/rust-toolbox,10XGenomics,rust-toolbox,pretty_trace,success,1,,2025-11-20T00:33:09Z
1KINGO1/my_parser_kma_lys_taras,1KINGO1,my_parser_kma_lys_taras,my_parser_kma_lys_taras,failed,1,git clone failed: Cloning into 'repos/1KINGO1/my_parser_kma_lys_taras'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/1KINGO1/my_parser_kma_lys_taras.git/',2025-11-28T04:38:41Z
2zh/feishu-bot,2zh,feishu-bot,lark_bot,failed,1,git clone failed: Cloning into 'repos/2zh/feishu-bot'... | remote: Repository not found. | fatal: repository 'https://github.com/2zh/feishu-bot.git/' not found,2025-11-28T04:39:05Z
3Hren/msgpack-rust,3Hren,msgpack-rust,rmp-serde,success,1,,2025-11-28T04:37:33Z
42ByteLabs/geekorm,42ByteLabs,geekorm,geekorm-cli,success,1,,2025-11-28T04:41:34Z
4r33x/proto_rs,4r33x,proto_rs,proto_rs,failed,1,git clone failed: Cloning into 'repos/4r33x/proto_rs'... | remote: Repository not found. | fatal: repository 'https://github.com/4r33x/proto_rs.git/' not found,2025-11-28T04:40:58Z
4t145/hot-sauce,4t145,hot-sauce,hot_sauce,success,1,,2025-11-28T04:38:49Z
4tkbytes/proton-sdk-rs,4tkbytes,proton-sdk-rs,proton-sdk-rs,success,1,,2025-11-20T00:44:14Z
64bit/async-openai,64bit,async-openai,async-openai-macros,pending,0,,
772/hyperlink-one-time-pad,772,hyperlink-one-time-pad,hyperlink-one-time-pad,pending,0,,
7sDream/amiya,7sDream,amiya,amiya,success,1,,2025-11-28T04:40:02Z
89z/sophia,89z,sophia,s8,pending,0,,
997R8V10/aviation-calc-util,997R8V10,aviation-calc-util,aviation_calc_util,success,1,,2025-11-20T00:41:15Z
9names/bl702-hal,9names,bl702-hal,bl702-hal,success,1,,2025-11-20T00:40:13Z
A1-Triard/tuifw,A1-Triard,tuifw,tuifw-screen,pending,0,,
A4-Tacks/std-move-rs,A4-Tacks,std-move-rs,std-move,success,1,,2025-11-28T04:40:47Z
AEMICS/aemics_stm32g4xx_drivers,AEMICS,aemics_stm32g4xx_drivers,aemics_stm32g4xx_drivers,pending,0,,
AIMOverse/aimo-rs,AIMOverse,aimo-rs,aimo-client,failed,1,git clone failed: Cloning into 'repos/AIMOverse/aimo-rs'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/AIMOverse/aimo-rs.git/',2025-11-28T04:38:53Z
ALIasgharBalochi/passcheck,ALIasgharBalochi,passcheck,passcheck,success,1,,2025-11-28T04:38:50Z
AWeirdDev/lize,AWeirdDev,lize,lize,success,1,,2025-11-20T00:35:31Z
AZMCode/error-chain-utils,AZMCode,error-chain-utils,error-chain-utils,success,1,,2025-11-28T04:38:46Z
Aatch/spirv-utils,Aatch,spirv-utils,spirv-utils,pending,0,,
Abestanis/embed-rust,Abestanis,embed-rust,embed-rust,pending,0,,
AbstractSDK/abstract,AbstractSDK,abstract,abstract-ica-client,pending,0,,
ActuallyHappening/YMap,ActuallyHappening,YMap,cargo-xcode-build-rs,pending,0,,
ActuallyHappening/rust-firebase-js,ActuallyHappening,rust-firebase-js,firebase-js,success,1,,2025-11-28T04:41:49Z
AdrianChallinorOsiris/lanmon,AdrianChallinorOsiris,lanmon,lanmon,pending,0,,
AdrisGithub/aul,AdrisGithub,aul,aul,success,1,,2025-11-28T04:41:00Z
AgustinSRG/pmv-encryption-rs,AgustinSRG,pmv-encryption-rs,pmv_encryption_rs,success,1,,2025-11-20T00:44:00Z
AhmedBoin/siyi-protocol,AhmedBoin,siyi-protocol,siyi-protocol,pending,0,,
Ai-Zixun/rust-leetcode-solutions,Ai-Zixun,rust-leetcode-solutions,leetcode-solutions,failed,1,git clone failed: Cloning into 'repos/Ai-Zixun/rust-leetcode-solutions'... | remote: Repository not found. | fatal: repository 'https://github.com/Ai-Zixun/rust-leetcode-solutions.git/' not found,2025-11-28T04:38:49Z
Ai00-X/rwkv-agent-kit,Ai00-X,rwkv-agent-kit,rwkv-tts-rs,success,1,,2025-11-28T04:41:44Z
Aiden-Ziegelaar/indicato-rs,Aiden-Ziegelaar,indicato-rs,indicato_rs,pending,0,,
AlbanMinassian/env-lang,AlbanMinassian,env-lang,env-lang,success,1,,2025-11-28T04:38:54Z
AldaronLau/zoitei,AldaronLau,zoitei,zoitei,pending,0,,
AleoHQ/snarkOS,AleoHQ,snarkOS,snarkos-metrics,success,1,,2025-11-20T00:46:29Z
AlephAlpha/build-time,AlephAlpha,build-time,build-time,success,1,,2025-11-28T04:41:18Z
AlephCubed/bsru,AlephCubed,bsru,bsru,success,1,,2025-11-28T04:40:28Z
Alex-Gilbert/bevy_midi_params,Alex-Gilbert,bevy_midi_params,bevy_midi_params,pending,0,,
AlexAegis/cpt,AlexAegis,cpt,cpt,pending,0,,
AlexanderDefuria/kd-tree-rs,AlexanderDefuria,kd-tree-rs,kd-tree-rs,success,1,,2025-11-28T04:38:44Z
AlexandreBarbier/axum_router_helper,AlexandreBarbier,axum_router_helper,arh-macros,pending,0,,
Alexhuszagh/rust-lexical,Alexhuszagh,rust-lexical,lexical,success,1,,2025-11-28T04:41:12Z
AlexiWolf/input_helper,AlexiWolf,input_helper,input_helper,pending,0,,
AlienKevin/wordshk-tools,AlienKevin,wordshk-tools,wordshk_tools,pending,0,,
Alkhanm/renomear-arquivos,Alkhanm,renomear-arquivos,replace_text,pending,0,,
Allfeat/allfeat-sdk,Allfeat,allfeat-sdk,allfeat-midds,success,1,,2025-11-20T00:47:01Z
AlphaModder/space_email_api,AlphaModder,space_email_api,space_email_api,success,1,,2025-11-28T04:39:29Z
AlphabetsAlphabets/srsa,AlphabetsAlphabets,srsa,srsa,pending,0,,
AltSysrq/lmdb-zero,AltSysrq,lmdb-zero,ord-lmdb-zero,success,1,,2025-11-28T04:39:58Z
Amanieu/parking_lot,Amanieu,parking_lot,parking_lot,success,1,,2025-11-28T04:37:37Z
AmionSky/hotreload,AmionSky,hotreload,hotreload,pending,0,,
Amityville-DE/sandy_bay,Amityville-DE,sandy_bay,sandy_bay,failed,2,git clone failed: Cloning into 'repos/Amityville-DE/sandy_bay'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/Amityville-DE/sandy_bay.git/',2025-11-20T01:06:35Z
Amjad50/OS,Amjad50,OS,amjad_os_kernel_user_link,success,1,,2025-11-20T00:35:23Z
Andlon/matrixcompare,Andlon,matrixcompare,matrixcompare-core,pending,0,,
AndrejOrsula/pyo3_more,AndrejOrsula,pyo3_more,pyo3_macros_more,pending,0,,
AndriBaal/shura,AndriBaal,shura,shura,success,1,,2025-11-20T00:53:14Z
Andy2403/aliasman-rs,Andy2403,aliasman-rs,ohmyalias,failed,1,git clone failed: Cloning into 'repos/Andy2403/aliasman-rs'... | remote: Repository not found. | fatal: repository 'https://github.com/Andy2403/aliasman-rs.git/' not found,2025-11-28T04:41:05Z
AnttiRae/RustScreenFetchThingy,AnttiRae,RustScreenFetchThingy,FetchDemo,success,1,,2025-11-20T00:36:35Z
Anush008/fastembed-rs,Anush008,fastembed-rs,fastembed,success,1,,2025-11-20T00:40:46Z
Ar37-rs/egui-fltk-frontend,Ar37-rs,egui-fltk-frontend,egui-fltk-frontend,success,1,,2025-11-28T04:39:48Z
Araxeus/pip-upgrade,Araxeus,pip-upgrade,pip-upgrade,success,1,,2025-11-20T00:52:14Z
ArielHorwitz/psprompt,ArielHorwitz,psprompt,psprompt,pending,0,,
Arnavion/k8s-openapi,Arnavion,k8s-openapi,k8s-openapi,success,1,,2025-11-28T04:38:06Z
Arteiii/unicode-icons,Arteiii,unicode-icons,unicode-icons,success,1,,2025-11-28T04:40:52Z
AspecScire/rasters.rs,AspecScire,rasters.rs,raster-tools,success,1,,2025-11-28T04:39:56Z
AsyncForge/NotifierHub,AsyncForge,NotifierHub,notifier_hub,pending,0,,
Atilogit/sparse_vec,Atilogit,sparse_vec,sparse_vec,success,1,,2025-11-20T00:38:54Z
Atmelfan/embedded-nal-async-std,Atmelfan,embedded-nal-async-std,embedded-nal-async-std,pending,0,,
Atreyagaurav/string-template-plus,Atreyagaurav,string-template-plus,string-template-plus,success,1,,2025-11-20T00:36:09Z
Autist69420/kv6,Autist69420,kv6,kv6,success,1,,2025-11-28T04:39:30Z
Avarok-Cybersecurity/Citadel-Protocol,Avarok-Cybersecurity,Citadel-Protocol,citadel_wire,success,1,,2025-11-28T04:40:06Z
Awpteamoose/supermod,Awpteamoose,supermod,supermod,success,1,,2025-11-28T04:38:55Z
Ayush1325/media_infer,Ayush1325,media_infer,media_infer,pending,0,,
AzHicham/openslide-rs,AzHicham,openslide-rs,openslide-rs,success,1,,2025-11-20T00:52:54Z
Azgrom/RustyShield,Azgrom,RustyShield,rs_sha3_512,pending,0,,
Azuyamat/boxes,Azuyamat,boxes,boxes,pending,0,,
BLAKE3-team/BLAKE3,BLAKE3-team,BLAKE3,blake3,success,1,,2025-11-28T04:38:07Z
BahNahNah/rust-arch,BahNahNah,rust-arch,aur-client,pending,0,,
Bajix/redis-cas,Bajix,redis-cas,redis-cas,pending,0,,
Ballpythonsan/yamakagashi,Ballpythonsan,yamakagashi,yamakagashi_core,success,1,,2025-11-28T04:39:04Z
Baptistemontan/leptos_i18n,Baptistemontan,leptos_i18n,leptos_i18n,success,1,,2025-11-28T04:40:18Z
BartMassey/codepage-strings,BartMassey,codepage-strings,codepage-strings,success,1,,2025-11-20T00:47:11Z
Battula-anil-app-could/dx-sdk-rs-new,Battula-anil-app-could,dx-sdk-rs-new,dharitri-wasm,success,1,,2025-11-28T04:41:04Z
Ben-Lichtman/nt-dll-sys,Ben-Lichtman,nt-dll-sys,nt-dll-sys,pending,0,,
Ben-PH/discrete_count,Ben-PH,discrete_count,discrete_count_core,pending,0,,
BenMcAvoy/StrawberryVM,BenMcAvoy,StrawberryVM,strawberryvm,success,1,,2025-11-20T00:46:43Z
Bennett-Petzold/bare_err_tree,Bennett-Petzold,bare_err_tree,bare_err_tree_proc,success,1,,2025-11-20T00:40:17Z
Berrysoft/hdf5-ext,Berrysoft,hdf5-ext,hdf5-hl,success,1,,2025-11-20T00:52:17Z
Beta5051/hcskr,Beta5051,hcskr,hcskr,pending,0,,
BiggieBoo18/Rust-WORLD,BiggieBoo18,Rust-WORLD,rsworld,pending,0,,
BitFields/jsonrpc_v2_awc,BitFields,jsonrpc_v2_awc,jsonrpc_v2_awc,success,1,,2025-11-20T00:46:40Z
BiteCraft/rustato,BiteCraft,rustato,rustato-proc-macros,pending,0,,
BlackPhlox/bevy_dolly,BlackPhlox,bevy_dolly,bevy_dolly,success,1,,2025-11-28T04:41:46Z
BlackrockNeurotech/burble,BlackrockNeurotech,burble,burble-crypto,pending,0,,
BlankZhu/istio-api-rs,BlankZhu,istio-api-rs,istio-api-rs,success,1,,2025-11-20T00:47:12Z
Blckbrry-Pi/rust-bcrypt-no-random,Blckbrry-Pi,rust-bcrypt-no-random,bcrypt-no-getrandom,pending,0,,
BlueGlassBlock/everything-direct,BlueGlassBlock,everything-direct,everything-direct,success,1,,2025-11-28T04:40:29Z
Bluefinger/bevy_turborand,Bluefinger,bevy_turborand,bevy_turborand,pending,0,,
Bralekfn/sui-mvr-rust,Bralekfn,sui-mvr-rust,sui-mvr,pending,0,,
BryantTseng/brainfuck_interpreter,BryantTseng,brainfuck_interpreter,brainfuck_interpreter,success,1,,2025-11-20T00:44:01Z
Bunogi/cargo-makedocs,Bunogi,cargo-makedocs,cargo-makedocs,pending,0,,
BurntSushi/aho-corasick,BurntSushi,aho-corasick,aho-corasick,success,1,,2025-11-20T00:38:41Z
BurntSushi/byteorder,BurntSushi,byteorder,byteorder,success,1,,2025-11-28T04:37:39Z
BurntSushi/imdb-rename,BurntSushi,imdb-rename,imdb-index,pending,0,,
BurntSushi/jiff,BurntSushi,jiff,jiff,success,1,,2025-11-20T00:34:14Z
BurntSushi/memchr,BurntSushi,memchr,memchr,success,1,,2025-11-28T04:37:57Z
BurntSushi/quickcheck,BurntSushi,quickcheck,quickcheck,success,1,,2025-11-28T04:37:41Z
BurntSushi/ripgrep,BurntSushi,ripgrep,ignore,success,1,,2025-11-28T04:37:38Z
BurntSushi/rust-csv,BurntSushi,rust-csv,csv,success,1,,2025-11-28T04:38:23Z
BurntSushi/termcolor,BurntSushi,termcolor,termcolor,success,1,,2025-11-28T04:37:38Z
BurntSushi/walkdir,BurntSushi,walkdir,walkdir,success,1,,2025-11-28T04:37:42Z
Buzzec/easy_proc,Buzzec,easy_proc,easy_proc,success,1,,2025-11-20T00:46:43Z
Byron/google-apis-rs,Byron,google-apis-rs,google-androidpublisher2-cli,success,1,,2025-11-20T00:39:20Z
ByteAtATime/scaffold-godot-rust,ByteAtATime,scaffold-godot-rust,scaffold-godot-rust,pending,0,,
CDCgov/zoe,CDCgov,zoe,zoe,success,1,,2025-11-28T04:41:13Z
CalSimmon/wizify-rs,CalSimmon,wizify-rs,wizify,pending,0,,
Callum-Irving/callisp,Callum-Irving,callisp,callisp,pending,0,,
Canop/coolor,Canop,coolor,coolor,success,1,,2025-11-28T04:40:59Z
Canop/terminal-clipboard,Canop,terminal-clipboard,terminal-clipboard,success,1,,2025-11-20T00:34:35Z
CarbonSmasher/mcvm,CarbonSmasher,mcvm,mcvm,success,1,,2025-11-20T00:39:52Z
Cardinal-Cryptography/PSP34,Cardinal-Cryptography,PSP34,psp34-full,success,1,,2025-11-20T00:40:12Z
CarlKCarlK/fetch-data,CarlKCarlK,fetch-data,fetch-data,pending,0,,
Carlosted/icondata,Carlosted,icondata,icondata_im,success,1,,2025-11-20T00:35:24Z
Cassielxd/moduforge-rs,Cassielxd,moduforge-rs,moduforge-rules-template,pending,0,,
CasualX/pelite,CasualX,pelite,pelite,pending,0,,
CasualX/scanner-rs,CasualX,scanner-rs,scanner,pending,0,,
Celthi/github-webhook-gateway,Celthi,github-webhook-gateway,webhook-gateway,success,1,,2025-11-28T04:38:53Z
Cergoo/all_combinations,Cergoo,all_combinations,all_combinations,pending,0,,
Cergoo/parcelona,Cergoo,parcelona,parcelona,pending,0,,
Certora/cvlr,Certora,cvlr,cvlr-early-panic,pending,0,,
CestcaVison/tricolor,CestcaVison,tricolor,tricolor,failed,2,git clone failed: Cloning into 'repos/CestcaVison/tricolor'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/CestcaVison/tricolor.git/',2025-11-20T01:06:33Z
Cethannel/nutp,Cethannel,nutp,nutp,pending,0,,
Ceyase/yufmath,Ceyase,yufmath,yufmath,success,1,,2025-11-28T04:41:14Z
ChAoSUnItY/cfsp,ChAoSUnItY,cfsp,cfsp,pending,0,,
Champii/reactive-postgres-rs,Champii,reactive-postgres-rs,reactive-pg,pending,0,,
ChangSpivey/kdri,ChangSpivey,kdri,kdri,pending,0,,
Chaoses-Ib/ib-matcher,Chaoses-Ib,ib-matcher,ib-unicode,success,1,,2025-11-28T04:38:56Z
Chia-Network/clvm_rs,Chia-Network,clvm_rs,clvmr,success,1,,2025-11-28T04:40:28Z
ChocolateLoverRaj/split_slice,ChocolateLoverRaj,split_slice,split_slice,success,1,,2025-11-28T04:40:28Z
ChosunOne/ask-bayes,ChosunOne,ask-bayes,ask-bayes,success,1,,2025-11-28T04:40:30Z
Chris1221/genomic_interval_pipeline,Chris1221,genomic_interval_pipeline,genomic_interval_pipeline,pending,0,,
ChristophWurst/nextcloud_appinfo,ChristophWurst,nextcloud_appinfo,nextcloud_appinfo,pending,0,,
CircuitCoder/uncore-sim,CircuitCoder,uncore-sim,uncore-sim,pending,0,,
CireSnave/cognition,CireSnave,cognition,cognition,pending,0,,
CleanCut/bevy_cleancut,CleanCut,bevy_cleancut,bevy_cleancut,success,1,,2025-11-28T04:41:46Z
CodeWolf33/rust_bmp,CodeWolf33,rust_bmp,rust_bmp,failed,2,git clone failed: Cloning into 'repos/CodeWolf33/rust_bmp'... | remote: Repository not found. | fatal: repository 'https://github.com/CodeWolf33/rust_bmp.git/' not found,2025-11-20T01:06:32Z
ColonelPhantom/plain-map,ColonelPhantom,plain-map,plain-map,success,1,,2025-11-30T03:49:32Z
ComradeYellowCitrusFruit/cypat_v2,ComradeYellowCitrusFruit,cypat_v2,cypat_scoring_engine,pending,0,,
ComunidadAylas/vorbis-rs,ComunidadAylas,vorbis-rs,ogg_next_sys,pending,0,,
Connected-Dot/cnctd_config,Connected-Dot,cnctd_config,cnctd_config,pending,0,,
Connicpu/free-ranges,Connicpu,free-ranges,free-ranges,pending,0,,
CoreDB-io/coredb,CoreDB-io,coredb,coredb-pg-slim,pending,0,,
Corn3333/alloy-multicall,Corn3333,alloy-multicall,alloy-multicall,success,1,,2025-11-28T04:39:48Z
CosmWasm/cosmwasm,CosmWasm,cosmwasm,"cosmwasm-std,cosmwasm-schema-derive",success,1,,2025-11-28T04:38:03Z
CosmWasm/cw-minus,CosmWasm,cw-minus,cw-controllers,success,1,,2025-11-20T00:38:21Z
CosmWasm/cw-nfts,CosmWasm,cw-nfts,cw2981-royalties,success,1,,2025-11-28T04:39:46Z
CosmWasm/cw-tools,CosmWasm,cw-tools,cw-multi-threaded-cache,success,1,,2025-11-20T00:47:02Z
Cosmian/kms,Cosmian,kms,"crypt2pay_pkcs11_loader,cosmian_kms_client_wasm,cosmian_kms_access,cosmian_kms_base_hsm,cosmian_kms_client",success,1,,2025-11-20T00:34:55Z
CosmicHorrorDev/smart-debug,CosmicHorrorDev,smart-debug,smart-debug-derive,pending,0,,
CosmoBunny/cand,CosmoBunny,cand,cand,pending,0,,
Couragium/rsmq-async-rs,Couragium,rsmq-async-rs,"rsmq_async_lite,rsmq_async",success,1,,2025-11-20T00:33:06Z
Cron-Near/Schedule,Cron-Near,Schedule,cron_schedule,success,1,,2025-11-28T04:39:54Z
Cubidev3/cubi-vectors,Cubidev3,cubi-vectors,cubi_vectors,pending,0,,
Cuprate/cuprate,Cuprate,cuprate,cuprate-epee-encoding,success,1,,2025-11-28T04:38:56Z
CycleChain/ignix,CycleChain,ignix,ignix,pending,0,,
Cyfrin/foundry-compilers,Cyfrin,foundry-compilers,cyfrin-foundry-compilers,pending,0,,
DDtKey/protect-endpoints,DDtKey,protect-endpoints,protect-endpoints-core,success,1,,2025-11-20T00:44:02Z
DEWARS-org/protobufs,DEWARS-org,protobufs,dewars_protobufs,success,1,,2025-11-28T04:39:04Z
DIG-Network/digwallet-rust,DIG-Network,digwallet-rust,dig-wallet,failed,1,git clone failed: Cloning into 'repos/DIG-Network/digwallet-rust'... | remote: Repository not found. | fatal: repository 'https://github.com/DIG-Network/digwallet-rust.git/' not found,2025-11-28T04:41:08Z
DaGenix/libpermute,DaGenix,libpermute,libpermute,success,1,,2025-11-20T00:45:30Z
DamianoPellegrini/nom-teltonika,DamianoPellegrini,nom-teltonika,nom-teltonika,success,1,,2025-11-28T04:41:35Z
DanielHabenicht/esphome-native-api,DanielHabenicht,esphome-native-api,esphome-native-api,success,1,,2025-11-20T00:34:17Z
Dari-OS/sector,Dari-OS,sector,sector,pending,0,,
DarkCeptor44/waker,DarkCeptor44,waker,waker-cli,success,1,,2025-11-28T04:40:13Z
Darkspirit/trust-acme,Darkspirit,trust-acme,trust-acme,pending,0,,
DarthSim/quantizr,DarthSim,quantizr,quantizr,success,1,,2025-11-20T00:40:10Z
DashieTM/OxiLib,DashieTM,OxiLib,oxilib,success,1,,2025-11-20T00:52:48Z
DataDog/libdatadog,DataDog,libdatadog,datadog-live-debugger,success,1,,2025-11-28T04:38:57Z
DavePearce/DerivationTree,DavePearce,DerivationTree,derivation_tree,success,1,,2025-11-28T04:38:39Z
DavePearce/VirtualMachineInterpreter.rs,DavePearce,VirtualMachineInterpreter.rs,virmin,pending,0,,
DavidCks/rusty-css,DavidCks,rusty-css,rusty-css,success,1,,2025-11-28T04:41:39Z
Daydreamest/scoreboard,Daydreamest,scoreboard,scoreboard_world_cup,failed,1,git clone failed: Cloning into 'repos/Daydreamest/scoreboard'... | remote: Repository not found. | fatal: repository 'https://github.com/Daydreamest/scoreboard.git/' not found,2025-11-28T04:38:42Z
Deaths-Door/kmmp-project-manager-cli,Deaths-Door,kmmp-project-manager-cli,kmmp-project-manager-cli,failed,1,git clone failed: Cloning into 'repos/Deaths-Door/kmmp-project-manager-cli'... | remote: Repository not found. | fatal: repository 'https://github.com/Deaths-Door/kmmp-project-manager-cli.git/' not found,2025-11-28T04:39:03Z
Deepthought-Solutions/axum_napi_bridge,Deepthought-Solutions,axum_napi_bridge,axum_napi_bridge,pending,0,,
Detegr/rust-ctrlc,Detegr,rust-ctrlc,ctrlc,success,1,,2025-11-28T04:38:25Z
Determinant/runes,Determinant,runes,runes,success,1,,2025-11-20T00:48:40Z
DeterminateSystems/nix-config-parser,DeterminateSystems,nix-config-parser,nix-config-parser,success,1,,2025-11-20T00:49:11Z
DevNitrate/salloc,DevNitrate,salloc,salloc,success,1,,2025-11-28T04:39:02Z
DevYatsu/pkl_parser,DevYatsu,pkl_parser,pkl-parser,pending,0,,
DeveloperC286/is_affected,DeveloperC286,is_affected,is_affected,success,1,,2025-11-28T04:40:11Z
Devolutions/IronRDP,Devolutions,IronRDP,ironrdp-dvc-pipe-proxy,success,1,,2025-11-20T00:32:50Z
DiaanEngelbrecht/cali,DiaanEngelbrecht,cali,cali_derive,pending,0,,
DiamondLovesYou/rust-vpx,DiamondLovesYou,rust-vpx,vpx,success,1,,2025-11-28T04:39:29Z
DigitalExtinction/Game,DigitalExtinction,Game,de_controller,success,1,,2025-11-20T00:44:35Z
DioxusLabs/dioxus,DioxusLabs,dioxus,dioxus-stores-macro,success,1,,2025-11-20T00:36:29Z
DoctorWhoof/tato,DoctorWhoof,tato,tato,pending,0,,
DougLau/footile,DougLau,footile,footile,success,1,,2025-11-28T04:39:12Z
DougLau/splot,DougLau,splot,splot,success,1,,2025-11-20T00:46:55Z
DoumanAsh/stm32l4x6_hal,DoumanAsh,stm32l4x6_hal,stm32l4x6-hal,pending,0,,
DrSloth/srestricted,DrSloth,srestricted,srestricted,success,1,,2025-11-28T04:38:55Z
DragonOS-Community/dsc,DragonOS-Community,dsc,dragonos-dsc,pending,0,,
Drumato/peachelf-viz,Drumato,peachelf-viz,peachelf,failed,1,git clone failed: Cloning into 'repos/Drumato/peachelf-viz'... | remote: Repository not found. | fatal: repository 'https://github.com/Drumato/peachelf-viz.git/' not found,2025-11-28T04:38:57Z
ER-hamed/pixelab-widgets,ER-hamed,pixelab-widgets,pixelab-widgets,failed,1,git clone failed: Cloning into 'repos/ER-hamed/pixelab-widgets'... | remote: Repository not found. | fatal: repository 'https://github.com/ER-hamed/pixelab-widgets.git/' not found,2025-11-28T04:38:38Z
EVaillant/lockfree-object-pool,EVaillant,lockfree-object-pool,lockfree-object-pool,pending,0,,
Earthcomputer/pterodactyl_api,Earthcomputer,pterodactyl_api,pterodactyl_api,pending,0,,
Eclipse-Laboratories-Inc/ore,Eclipse-Laboratories-Inc,ore,eore-api,pending,0,,
ElchananHaas/varisat-utils,ElchananHaas,varisat-utils,varisat-utils,pending,0,,
Electron100/butane,Electron100,butane,butane_cli,success,1,,2025-11-28T04:39:10Z
ElementsProject/rust-elements,ElementsProject,rust-elements,elements,success,1,,2025-11-20T00:47:22Z
EmbarkStudios/crash-handling,EmbarkStudios,crash-handling,sadness-generator,success,1,,2025-11-20T00:46:38Z
Embers-of-the-Fire/better-default-rs,Embers-of-the-Fire,better-default-rs,fancy-default-derive,success,1,,2025-11-20T00:40:30Z
Embers-of-the-Fire/rust-std-ext,Embers-of-the-Fire,rust-std-ext,rs-std-ext,success,1,,2025-11-28T04:39:04Z
Embers-of-the-Fire/valust-rs,Embers-of-the-Fire,valust-rs,valust-utils,success,1,,2025-11-28T04:41:42Z
Enet4/dicom-rs,Enet4,dicom-rs,dicom-fromimage,pending,0,,
EngosSoftware/biff,EngosSoftware,biff,biff,success,1,,2025-11-28T04:40:53Z
EntropicLabs/entropycli,EntropicLabs,entropycli,entropycli,success,1,,2025-11-28T04:40:55Z
Eschryn/rinara,Eschryn,rinara,rinara,pending,0,,
EthanYidong/patchable,EthanYidong,patchable,patchable-macros,pending,0,,
EverlastingBugstopper/billboard,EverlastingBugstopper,billboard,billboard,success,1,,2025-11-20T00:47:02Z
Evian-Zhang/serde-hex-util,Evian-Zhang,serde-hex-util,hex-serde-util,failed,1,git clone failed: Cloning into 'repos/Evian-Zhang/serde-hex-util'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/Evian-Zhang/serde-hex-util.git/',2025-11-28T04:38:59Z
ExpHP/npyz,ExpHP,npyz,npyz-derive,success,1,,2025-11-28T04:39:30Z
Expander/polylog,Expander,polylog,polylog,success,1,,2025-11-28T04:39:35Z
FGRibreau/mailchecker,FGRibreau,mailchecker,mailchecker,success,1,,2025-11-20T00:46:57Z
FNNDSC/orthanc-rs,FNNDSC,orthanc-rs,orthanc_sdk,success,1,,2025-11-20T00:32:34Z
FStanDev/scd30_i2c,FStanDev,scd30_i2c,scd30_i2c,pending,0,,
FaceFTW/rust-pipes,FaceFTW,rust-pipes,rust-pipes,success,1,,2025-11-28T04:39:06Z
Fahoom/untyped_vec,Fahoom,untyped_vec,untyped_vec,failed,1,git clone failed: Cloning into 'repos/Fahoom/untyped_vec'... | remote: Repository not found. | fatal: repository 'https://github.com/Fahoom/untyped_vec.git/' not found,2025-11-28T04:39:00Z
FalkorDB/falkordb-rs,FalkorDB,falkordb-rs,falkordb,success,1,,2025-11-20T00:44:17Z
FauxFaux/archiv,FauxFaux,archiv,archiv,success,1,,2025-11-28T04:41:35Z
FauxFaux/pack-it,FauxFaux,pack-it,pack-it,pending,0,,
Fedcomp/amxx-rs,Fedcomp,amxx-rs,amxx,failed,1,git clone failed: Cloning into 'repos/Fedcomp/amxx-rs'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/Fedcomp/amxx-rs.git/',2025-11-28T04:39:03Z
FifthTry/ft-sdk,FifthTry,ft-sdk,ft-sdk,success,1,,2025-11-20T00:47:58Z
FindoraNetwork/ed2-derive,FindoraNetwork,ed2-derive,ed2-derive,failed,1,git clone failed: Cloning into 'repos/FindoraNetwork/ed2-derive'... | remote: Repository not found. | fatal: repository 'https://github.com/FindoraNetwork/ed2-derive.git/' not found,2025-11-28T04:39:12Z
FintanH/thrussh,FintanH,thrussh,lnk-thrussh-libsodium,success,1,,2025-11-28T04:39:16Z
