key,owner,repo,crate_names,status,attempts,last_error,last_attempt_ts
offbit-ai/zeal,offbit-ai,zeal,zeal-sdk,success,1,,2025-11-28T04:40:29Z
ogham/rust-ansi-term,ogham,rust-ansi-term,ansi_term,success,1,,2025-11-28T04:37:35Z
oh-wind/minicbor-ser,oh-wind,minicbor-ser,minicbor-ser,success,1,,2025-11-28T04:40:22Z
okcodes/derive-masked,okcodes,derive-masked,derive-masked,success,1,,2025-11-20T00:46:45Z
oli-obk/cargo_metadata,oli-obk,cargo_metadata,cargo_metadata,success,1,,2025-11-28T04:38:35Z
olidacombe/confql,olidacombe,confql,confql-proc-macro,success,1,,2025-11-30T03:49:29Z
olidacombe/hardpass,olidacombe,hardpass,hardpass,pending,0,,
olix3001/exers,olix3001,exers,exers,pending,0,,
omelia-iliffe/moteus-rs,omelia-iliffe,moteus-rs,moteus,pending,0,,
omicscode/sequenceprofiler,omicscode,sequenceprofiler,sequenceprofiler,pending,0,,
onderjan/machine-check,onderjan,machine-check,machine-check-common,success,1,,2025-11-20T00:40:05Z
onurzdg/mio-misc,onurzdg,mio-misc,mio-misc,pending,0,,
onxcy/powershell,onxcy,powershell,powershell,failed,1,git clone failed: Cloning into 'repos/onxcy/powershell'... | remote: Repository not found. | fatal: repository 'https://github.com/onxcy/powershell.git/' not found,2025-11-28T04:39:02Z
oooutlk/enumx,oooutlk,enumx,enumx_derive,pending,0,,
oovm/fs-tools,oovm,fs-tools,find-target,success,1,,2025-11-20T00:33:37Z
oovm/magic-square-rs,oovm,magic-square-rs,magicsquare,pending,0,,
oovm/sub_projects,oovm,sub_projects,waifu-diffuser-types,pending,0,,
op-rs/kona,op-rs,kona,kona-comp,pending,0,,
open-flash/double-conversion,open-flash,double-conversion,double-conversion-sys,success,1,,2025-11-28T04:38:58Z
open-rmf/bevy_impulse,open-rmf,bevy_impulse,bevy_impulse,success,1,,2025-11-28T04:41:05Z
open-telemetry/opentelemetry-rust,open-telemetry,opentelemetry-rust,"opentelemetry,tracexec-opentelemetry-otlp",success,1,,2025-11-28T04:37:36Z
openlemmy/openlemmy,openlemmy,openlemmy,openlemmy,success,1,,2025-11-20T00:35:48Z
openobserve/dotenv-config,openobserve,dotenv-config,dotenv_config,success,1,,2025-11-28T04:40:25Z
orengine/orengine-utils,orengine,orengine-utils,orengine-utils,success,1,,2025-11-28T04:40:46Z
orhun/daktilo,orhun,daktilo,daktilo,pending,0,,
orhun/i3-workspace-brightness,orhun,i3-workspace-brightness,i3-workspace-brightness,success,1,,2025-11-28T04:40:53Z
