crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
1150723,short-uuid,https://github.com/radim10/short-uuid,368117,71,data-structures,high,0,noncore,2024-02-23 15:45:34.004079+00,2025-02-09 15:17:10.785137+00,2025
404041,build-time,https://github.com/AlephAlpha/build-time,1719529,210,development-tools,high,0,noncore,2021-05-31 00:53:23.56669+00,2023-05-01 04:21:53.409744+00,2023
549092,unimock,https://github.com/audunhalland/unimock/,100479,25,development-tools,high,0,noncore,2022-03-13 08:09:22.481083+00,2025-11-07 22:00:56.217048+00,2025
789657,transitive,https://github.com/bobozaur/transitive,110221,0,development-tools,high,0,noncore,2023-02-20 09:27:47.397723+00,2025-05-23 13:40:34.612248+00,2025
909655,oxc,https://github.com/oxc-project/oxc,502785,420,development-tools,high,0,noncore,2023-07-06 07:40:27.56198+00,2025-11-17 12:43:40.715475+00,2025
285927,mockall_double,https://github.com/asomers/mockall,7547860,394,development-tools,high,0,noncore,2020-09-07 21:29:38.391369+00,2023-12-10 01:05:17.161448+00,2023
825235,oxc_ast,https://github.com/oxc-project/oxc,2604001,1925,development-tools,high,0,noncore,2023-03-30 16:00:46.225362+00,2025-11-17 12:41:13.486607+00,2025
966220,filesync,https://git.sr.ht/~mistodon/filesync,4604,0,filesystem,mid,0,noncore,2023-09-07 13:04:50.373047+00,2025-10-30 13:45:59.658164+00,2025
416333,stratisd,https://github.com/stratis-storage/stratisd/,54479,0,filesystem,mid,0,noncore,2021-06-29 19:57:30.626845+00,2025-11-03 02:37:18.685147+00,2025
1269236,mantaray,https://github.com/mines-oceanography/mantaray,1883,0,mathematics,low,0,noncore,2024-06-12 05:08:23.625484+00,2025-05-08 03:02:06.981417+00,2025
1052832,hohibe,https://codeberg.org/dunj3/hohibe,1548,0,mathematics,low,0,noncore,2023-11-29 10:10:26.950228+00,2023-11-29 10:10:26.950228+00,2023
1638040,anthem,https://github.com/potassco/anthem,1727,0,mathematics,low,0,noncore,2025-04-17 16:12:41.781939+00,2025-09-14 22:15:02.195021+00,2025
1319462,better-routes,https://github.com/ratnaraj7/better-routes,11634,0,web-programming,mid,0,noncore,2024-07-30 04:55:50.864783+00,2024-10-03 16:51:10.929048+00,2024
547298,poem-ratelimit,https://github.com/KernelErr/poem-ratelimit,5980,0,web-programming,mid,0,noncore,2022-03-10 03:51:04.038293+00,2022-03-21 16:00:28.169648+00,2022
