feature,first_appearance_version,first_appearance_date,first_appearance_status,first_unstable_version,first_unstable_date,last_unstable_version,last_unstable_date,stabilized_version,stabilized_date,removed_version,removed_date,latest_status,latest_version,latest_version_date
non_ascii_idents,1.53.0,2021-06-17,accepted,1.53.0,2021-06-17,,,1.53.0,2021-06-17,,,accepted,1.53.0,2021-06-17
non_exhaustive,1.40.0,2019-12-19,accepted,1.40.0,2019-12-19,,,1.40.0,2019-12-19,,,accepted,1.40.0,2019-12-19
non_exhaustive_omitted_patterns_lint,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
non_lifetime_binders,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
non_modrs_mods,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
nvptx_target_feature,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
object_safe_for_dispatch,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.82.0,2024-10-17,,,1.83.0,2024-11-28,removed,1.83.0,2024-11-28
offset_of_enum,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
offset_of_nested,1.77.0,2024-03-21,unstable,1.77.0,2024-03-21,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
offset_of_slice,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
omit_gdb_pretty_printer_section,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.90.0,2025-09-18,,,1.91.0,2025-10-30,removed,1.91.0,2025-10-30
on_unimplemented,1.40.0,2019-12-19,removed,1.40.0,2019-12-19,,,,,1.40.0,2019-12-19,removed,1.40.0,2019-12-19
opt_out_copy,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
optimize_attribute,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
optin_builtin_traits,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.50.0,2021-02-11
or_patterns,1.53.0,2021-06-17,accepted,1.53.0,2021-06-17,,,1.53.0,2021-06-17,,,accepted,1.53.0,2021-06-17
overlapping_marker_traits,1.42.0,2020-03-12,removed,1.42.0,2020-03-12,,,,,1.42.0,2020-03-12,removed,1.42.0,2020-03-12
packed_bundled_libs,1.74.0,2023-11-16,accepted,1.74.0,2023-11-16,,,1.74.0,2023-11-16,,,accepted,1.74.0,2023-11-16
panic_handler,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
panic_implementation,1.28.0,2018-08-02,removed,1.28.0,2018-08-02,,,,,1.28.0,2018-08-02,removed,1.28.0,2018-08-02
panic_runtime,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
param_attrs,1.39.0,2019-11-07,accepted,1.39.0,2019-11-07,,,1.39.0,2019-11-07,,,accepted,1.39.0,2019-11-07
patchable_function_entry,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
pattern_complexity,1.78.0,2024-05-02,internal,1.78.0,2024-05-02,1.86.0,2025-04-03,,,,,internal,1.86.0,2025-04-03
pattern_complexity_limit,1.87.0,2025-05-15,internal,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
pattern_parentheses,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.31.0,2018-12-06
pattern_types,1.79.0,2024-06-13,internal,1.79.0,2024-06-13,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
pin_ergonomics,1.83.0,2024-11-28,incomplete,1.83.0,2024-11-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
platform_intrinsics,1.4.0,2015-10-29,removed,1.75.0,2023-12-28,1.77.2,2024-04-09,,,1.4.0,2015-10-29,removed,1.78.0,2024-05-02
plugin,1.75.0,2023-12-28,removed,1.75.0,2023-12-28,,,,,1.75.0,2023-12-28,removed,1.75.0,2023-12-28
plugin_registrar,1.54.0,2021-07-29,removed,1.54.0,2021-07-29,,,,,1.54.0,2021-07-29,removed,1.75.0,2023-12-28
postfix_match,1.79.0,2024-06-13,unstable,1.79.0,2024-06-13,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
powerpc_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
precise_capturing,1.79.0,2024-06-13,incomplete,1.79.0,2024-06-13,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
precise_capturing_in_traits,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.86.0,2025-04-03,1.87.0,2025-05-15,,,accepted,1.87.0,2025-05-15
precise_pointer_size_matching,1.32.0,2019-01-17,removed,1.75.0,2023-12-28,1.75.0,2023-12-28,,,1.32.0,2019-01-17,removed,1.76.0,2024-02-08
pref_align_of,1.89.0,2025-08-07,removed,1.89.0,2025-08-07,,,,,1.89.0,2025-08-07,removed,1.89.0,2025-08-07
prelude_import,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
prfchw_target_feature,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
proc_macro,1.15.0,2017-02-02,accepted,1.15.0,2017-02-02,,,1.15.0,2017-02-02,,,accepted,1.29.0,2018-09-13
proc_macro_expr,1.27.0,2018-06-21,removed,1.27.0,2018-06-21,,,,,1.27.0,2018-06-21,removed,1.27.0,2018-06-21
proc_macro_gen,1.27.0,2018-06-21,removed,1.27.0,2018-06-21,,,,,1.27.0,2018-06-21,removed,1.27.0,2018-06-21
proc_macro_hygiene,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
proc_macro_mod,1.27.0,2018-06-21,removed,1.27.0,2018-06-21,,,,,1.27.0,2018-06-21,removed,1.27.0,2018-06-21
proc_macro_non_items,1.27.0,2018-06-21,removed,1.27.0,2018-06-21,,,,,1.27.0,2018-06-21,removed,1.27.0,2018-06-21
proc_macro_path_invoc,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
profiler_runtime,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
pub_macro_rules,1.53.0,2021-06-17,removed,1.53.0,2021-06-17,,,,,1.53.0,2021-06-17,removed,1.53.0,2021-06-17
pub_restricted,1.18.0,2017-06-08,accepted,1.18.0,2017-06-08,,,1.18.0,2017-06-08,,,accepted,1.18.0,2017-06-08
pushpop_unsafe,1.2.0,2015-08-07,removed,1.2.0,2015-08-07,,,,,1.2.0,2015-08-07,removed,1.2.0,2015-08-07
quad_precision_float,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
question_mark,1.13.0,2016-11-10,accepted,1.13.0,2016-11-10,,,1.13.0,2016-11-10,,,accepted,1.14.0,2016-12-22
quote,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.33.0,2019-02-28
raw_dylib,1.71.0,2023-07-13,accepted,1.71.0,2023-07-13,,,1.71.0,2023-07-13,,,accepted,1.71.0,2023-07-13
raw_dylib_elf,1.87.0,2025-05-15,incomplete,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
raw_identifiers,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
raw_ref_op,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
re_rebalance_coherence,1.41.0,2020-01-30,accepted,1.41.0,2020-01-30,,,1.41.0,2020-01-30,,,accepted,1.41.0,2020-01-30
reborrow,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
ref_pat_eat_one_layer_2024,1.79.0,2024-06-13,incomplete,1.79.0,2024-06-13,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
ref_pat_eat_one_layer_2024_structural,1.81.0,2024-09-05,incomplete,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
ref_pat_everywhere,1.79.0,2024-06-13,incomplete,1.79.0,2024-06-13,1.79.0,2024-06-13,,,1.79.0,2024-06-13,removed,1.80.0,2024-07-25
reflect,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
register_attr,1.65.0,2022-11-03,removed,1.65.0,2022-11-03,,,,,1.65.0,2022-11-03,removed,1.65.0,2022-11-03
register_tool,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
relaxed_adts,1.19.0,2017-07-20,accepted,1.19.0,2017-07-20,,,1.19.0,2017-07-20,,,accepted,1.19.0,2017-07-20
relaxed_struct_unsize,1.58.0,2022-01-13,accepted,1.58.0,2022-01-13,,,1.58.0,2022-01-13,,,accepted,1.58.0,2022-01-13
repr128,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
repr_align,1.24.0,2018-02-15,accepted,1.24.0,2018-02-15,,,1.24.0,2018-02-15,,,accepted,1.25.0,2018-03-29
repr_align_enum,1.37.0,2019-08-15,accepted,1.37.0,2019-08-15,,,1.37.0,2019-08-15,,,accepted,1.37.0,2019-08-15
repr_packed,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
repr_simd,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
repr_transparent,1.28.0,2018-08-02,accepted,1.28.0,2018-08-02,,,1.28.0,2018-08-02,,,accepted,1.28.0,2018-08-02
result_ffi_guarantees,1.80.0,2024-07-25,unstable,1.80.0,2024-07-25,1.83.0,2024-11-28,1.84.0,2025-01-09,,,accepted,1.84.0,2025-01-09
return_position_impl_trait_in_trait,1.75.0,2023-12-28,accepted,1.75.0,2023-12-28,,,1.75.0,2023-12-28,,,accepted,1.75.0,2023-12-28
return_type_notation,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
riscv_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
rtm_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
rust_2018_preview,1.76.0,2024-02-08,removed,1.76.0,2024-02-08,,,,,1.76.0,2024-02-08,removed,1.76.0,2024-02-08
rust_cold_cc,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
rustc_allow_const_fn_unstable,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
rustc_attrs,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
rustc_diagnostic_macros,1.38.0,2019-09-26,removed,1.38.0,2019-09-26,,,,,1.38.0,2019-09-26,removed,1.38.0,2019-09-26
rustc_private,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
rustdoc_internals,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
rustdoc_missing_doc_code_examples,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
rvalue_static_promotion,1.21.0,2017-10-12,accepted,1.21.0,2017-10-12,,,1.21.0,2017-10-12,,,accepted,1.21.0,2017-10-12
s390x_target_feature,1.82.0,2024-10-17,unstable,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
sanitize,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
sanitizer_runtime,1.17.0,2017-04-27,removed,1.17.0,2017-04-27,,,,,1.17.0,2017-04-27,removed,1.17.0,2017-04-27
self_in_typedefs,1.32.0,2019-01-17,accepted,1.32.0,2019-01-17,,,1.32.0,2019-01-17,,,accepted,1.32.0,2019-01-17
self_struct_ctor,1.32.0,2019-01-17,accepted,1.32.0,2019-01-17,,,1.32.0,2019-01-17,,,accepted,1.32.0,2019-01-17
sha512_sm_x86,1.82.0,2024-10-17,unstable,1.82.0,2024-10-17,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
shorter_tail_lifetimes,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.83.0,2024-11-28,1.84.0,2025-01-09,,,accepted,1.84.0,2025-01-09
simd,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
simd_ffi,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
sized_hierarchy,1.89.0,2025-08-07,unstable,1.89.0,2025-08-07,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
slice_patterns,1.42.0,2020-03-12,accepted,1.42.0,2020-03-12,,,1.42.0,2020-03-12,,,accepted,1.42.0,2020-03-12
slicing_syntax,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
sparc_target_feature,1.84.0,2025-01-09,unstable,1.84.0,2025-01-09,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
specialization,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
sse4a_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.90.0,2025-09-18,1.91.0,2025-10-30,,,accepted,1.91.0,2025-10-30
staged_api,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
start,1.0.0,2015-05-15,removed,1.75.0,2023-12-28,1.85.1,2025-03-18,,,1.0.0,2015-05-15,removed,1.86.0,2025-04-03
static_align,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
static_in_const,1.17.0,2017-04-27,accepted,1.17.0,2017-04-27,,,1.17.0,2017-04-27,,,accepted,1.17.0,2017-04-27
static_nobundle,1.16.0,2017-03-16,removed,1.16.0,2017-03-16,,,,,1.16.0,2017-03-16,removed,1.63.0,2022-08-11
static_recursion,1.17.0,2017-04-27,accepted,1.17.0,2017-04-27,,,1.17.0,2017-04-27,,,accepted,1.17.0,2017-04-27
stmt_expr_attributes,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
strict_provenance,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.83.0,2024-11-28,,,,,unstable,1.83.0,2024-11-28
strict_provenance_lints,1.84.0,2025-01-09,unstable,1.84.0,2025-01-09,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
string_deref_patterns,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
struct_field_attributes,1.20.0,2017-08-31,accepted,1.20.0,2017-08-31,,,1.20.0,2017-08-31,,,accepted,1.20.0,2017-08-31
struct_inherit,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
struct_target_features,1.82.0,2024-10-17,incomplete,1.82.0,2024-10-17,1.82.0,2024-10-17,,,,,incomplete,1.82.0,2024-10-17
struct_variant,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
structural_match,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
super_let,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
supertrait_item_shadowing,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
target_feature,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
target_feature_11,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.85.1,2025-03-18,1.86.0,2025-04-03,,,accepted,1.86.0,2025-04-03
target_feature_inline_always,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
tbm_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.90.0,2025-09-18,1.91.0,2025-10-30,,,accepted,1.91.0,2025-10-30
termination_trait,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
termination_trait_test,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
test_2018_feature,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.75.0,2023-12-28,,,,,internal,1.75.0,2023-12-28
test_accepted_feature,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
test_removed_feature,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
test_unstable_lint,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
thread_local,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
tool_attributes,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
tool_lints,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.31.0,2018-12-06
track_caller,1.46.0,2020-08-27,accepted,1.46.0,2020-08-27,,,1.46.0,2020-08-27,,,accepted,1.46.0,2020-08-27
trait_alias,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
trait_upcasting,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.85.1,2025-03-18,1.86.0,2025-04-03,,,accepted,1.86.0,2025-04-03
transmute_generic_consts,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
transparent_enums,1.42.0,2020-03-12,accepted,1.42.0,2020-03-12,,,1.42.0,2020-03-12,,,accepted,1.42.0,2020-03-12
transparent_unions,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
trivial_bounds,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
try_blocks,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
tuple_indexing,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
type_alias_enum_variants,1.37.0,2019-08-15,accepted,1.37.0,2019-08-15,,,1.37.0,2019-08-15,,,accepted,1.37.0,2019-08-15
type_alias_impl_trait,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
type_ascription,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.80.1,2024-08-08,,,,,unstable,1.80.1,2024-08-08
type_changing_struct_update,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
type_macros,1.13.0,2016-11-10,accepted,1.13.0,2016-11-10,,,1.13.0,2016-11-10,,,accepted,1.13.0,2016-11-10
type_privacy_lints,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.78.0,2024-05-02,1.79.0,2024-06-13,,,accepted,1.79.0,2024-06-13
unboxed_closures,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
underscore_const_names,1.37.0,2019-08-15,accepted,1.37.0,2019-08-15,,,1.37.0,2019-08-15,,,accepted,1.37.0,2019-08-15
underscore_imports,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
underscore_lifetimes,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
uniform_paths,1.32.0,2019-01-17,accepted,1.32.0,2019-01-17,,,1.32.0,2019-01-17,,,accepted,1.32.0,2019-01-17
universal_impl_trait,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
unix_sigpipe,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.79.0,2024-06-13,,,,,unstable,1.79.0,2024-06-13
unmarked_api,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
unnamed_fields,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.82.0,2024-10-17,,,1.83.0,2024-11-28,removed,1.83.0,2024-11-28
unqualified_local_imports,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
unrestricted_attribute_tokens,1.34.0,2019-04-11,accepted,1.34.0,2019-04-11,,,1.34.0,2019-04-11,,,accepted,1.34.0,2019-04-11
unsafe_attributes,1.80.0,2024-07-25,unstable,1.80.0,2024-07-25,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
unsafe_binders,1.85.0,2025-02-20,incomplete,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
unsafe_block_in_unsafe_fn,1.51.0,2021-03-25,accepted,1.51.0,2021-03-25,,,1.51.0,2021-03-25,,,accepted,1.52.0,2021-05-06
unsafe_extern_blocks,1.80.0,2024-07-25,unstable,1.80.0,2024-07-25,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
unsafe_fields,1.85.0,2025-02-20,incomplete,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
unsafe_no_drop_flag,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
unsafe_pin_internals,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.75.0,2023-12-28,,,,,internal,1.75.0,2023-12-28
unsized_const_params,1.82.0,2024-10-17,incomplete,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
unsized_fn_params,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
unsized_locals,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.88.0,2025-06-26,,,1.89.0,2025-08-07,removed,1.89.0,2025-08-07
unsized_tuple_coercion,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.86.0,2025-04-03,,,1.87.0,2025-05-15,removed,1.87.0,2025-05-15
untagged_unions,1.13.0,2016-11-10,removed,1.13.0,2016-11-10,,,,,1.13.0,2016-11-10,removed,1.64.0,2022-09-22
unwind_attributes,1.56.0,2021-10-21,removed,1.56.0,2021-10-21,,,,,1.56.0,2021-10-21,removed,1.56.0,2021-10-21
use_extern_macros,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
use_nested_groups,1.25.0,2018-03-29,accepted,1.25.0,2018-03-29,,,1.25.0,2018-03-29,,,accepted,1.25.0,2018-03-29
used,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
used_with_arg,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
visible_private_types,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
wasm_abi,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.80.1,2024-08-08,,,1.81.0,2024-09-05,removed,1.81.0,2024-09-05
wasm_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
where_clause_attrs,1.87.0,2025-05-15,unstable,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
while_let,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
windows_subsystem,1.18.0,2017-06-08,accepted,1.18.0,2017-06-08,,,1.18.0,2017-06-08,,,accepted,1.18.0,2017-06-08
with_negative_coherence,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
x86_amx_intrinsics,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
x87_target_feature,1.85.0,2025-02-20,unstable,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
xop_target_feature,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
yeet_expr,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
yield_expr,1.87.0,2025-05-15,unstable,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
