feature,first_appearance_version,first_appearance_date,first_appearance_status,first_unstable_version,first_unstable_date,last_unstable_version,last_unstable_date,stabilized_version,stabilized_date,removed_version,removed_date,latest_status,latest_version,latest_version_date
extern_system_varargs,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
extern_types,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
external_doc,1.54.0,2021-07-29,removed,1.54.0,2021-07-29,,,,,1.54.0,2021-07-29,removed,1.54.0,2021-07-29
f128,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
f16,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
f16c_target_feature,1.68.0,2023-03-09,accepted,1.68.0,2023-03-09,,,1.68.0,2023-03-09,,,accepted,1.68.0,2023-03-09
ffi_const,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
ffi_pure,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
ffi_returns_twice,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.77.2,2024-04-09,,,1.78.0,2024-05-02,removed,1.78.0,2024-05-02
field_init_shorthand,1.17.0,2017-04-27,accepted,1.17.0,2017-04-27,,,1.17.0,2017-04-27,,,accepted,1.17.0,2017-04-27
fmt_debug,1.82.0,2024-10-17,unstable,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fn_align,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fn_delegation,1.76.0,2024-02-08,incomplete,1.76.0,2024-02-08,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
fn_must_use,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
format_args_capture,1.58.0,2022-01-13,accepted,1.58.0,2022-01-13,,,1.58.0,2022-01-13,,,accepted,1.58.0,2022-01-13
freeze_impls,1.78.0,2024-05-02,internal,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
frontmatter,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fundamental,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
gen_blocks,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
generator_clone,1.65.0,2022-11-03,removed,1.65.0,2022-11-03,,,,,1.65.0,2022-11-03,removed,1.75.0,2023-12-28
generators,1.21.0,2017-10-12,removed,1.21.0,2017-10-12,,,,,1.21.0,2017-10-12,removed,1.75.0,2023-12-28
generic_arg_infer,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
generic_assert,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
generic_associated_types,1.65.0,2022-11-03,accepted,1.65.0,2022-11-03,,,1.65.0,2022-11-03,,,accepted,1.65.0,2022-11-03
generic_associated_types_extended,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.84.1,2025-01-30,,,1.85.0,2025-02-20,removed,1.85.0,2025-02-20
generic_const_exprs,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
generic_const_items,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
generic_const_parameter_types,1.87.0,2025-05-15,incomplete,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
