crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
744047,rust_bmp,https://github.com/CodeWolf33/rust_bmp,2275,uncategorized,,2022,2022,low
340909,slot_machine,https://github.com/avikuloff/slot_machine/,6459,game-engines,game-engines,2021,2021,mid
846332,airlang_bin,https://github.com/LambdaAlpha/airlang_rs,31074,compilers,compilers,2025,2025,high
124429,actix-web-actors,https://github.com/actix/actix-web,5117583,uncategorized,,2024,2024,high
1338429,tinge_lib,https://github.com/zipxing/tinge/lib,1361,command-line-utilities,"command-line-utilities,graphics,gui",2024,2024,low
890669,validus,https://github.com/axionbuster/validus,7391,rust-patterns,rust-patterns,2023,2023,mid
1901588,tryparse-derive,https://github.com/microagents/tryparse,421,development-tools,"development-tools,parsing,text-processing",2025,2025,low
1409901,vy-core,https://github.com/JonahLund/vy,3456,template-engine,"template-engine,web-programming",2025,2025,low
1093215,amjad_os_kernel_user_link,https://github.com/Amjad50/OS,12263,os,os,2024,2024,mid
348890,icmp-socket,https://github.com/zaphar/icmp-socket,10520,uncategorized,,2022,2022,mid
1350448,hubby-core,https://github.com/akesling/hubby,2163,uncategorized,,2024,2024,low
196275,rodbus,https://github.com/stepfunc/rodbus,16587,network-programming,network-programming,2024,2024,mid
1530909,x32_osc_state,https://github.com/jtsage/x32_osc_state,4839,uncategorized,,2025,2025,low
664545,versatile-data,https://github.com/OdenShirataki/versatile-data,270623,database-implementations,database-implementations,2024,2024,high
1126077,dot_ix_rt,https://github.com/azriel91/dot_ix,17867,visualization,visualization,2025,2025,mid
404872,influxrs,https://github.com/ijagberg/influx,14483,database,database,2024,2024,mid
779340,fuel-core-bin,https://github.com/FuelLabs/fuel-core,110077,concurrency,"concurrency,cryptography::cryptocurrencies,emulators",2025,2025,high
1451462,linkding-rs,https://github.com/zbrox/linkding-rs,1998,uncategorized,,2025,2025,low
448965,gdlogue,https://github.com/simhyeon/gdlogue-rs,2991,game-development,"game-development,text-processing",2021,2021,low
908423,microxdg,https://github.com/marcoradocchia/microxdg,7658,config,"config,filesystem",2024,2024,mid
254698,yeelight,https://github.com/leixb/yeelight,18262,api-bindings,"api-bindings,command-line-interface",2023,2023,mid
1280564,list-to-tabs,https://github.com/jackpots28/list_to_konsole-tabs_rs,2479,command-line-utilities,command-line-utilities,2024,2024,low
718461,defmt-tcp,https://github.com/miathedev/defmt-tcp,3934,command-line-utilities,"command-line-utilities,development-tools,embedded",2023,2023,low
29162,u2f,https://github.com/wisespace-io/u2f-rs,94735,authentication,authentication,2020,2020,high
1074090,qemu-plugin,https://github.com/novafacing/qemu-rs,9084,virtualization,virtualization,2025,2025,mid
1211841,objc2-cloud-kit,https://github.com/madsmtm/objc2,5121801,api-bindings,"api-bindings,development-tools::ffi,external-ffi-bindings,os::macos-apis",2025,2025,high
